EventId,EventTemplate,Occurrences
41f45c32,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""query"":{""url"":""<*>"",""Submit"":""Submit""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",609
2893aed2,"{""ts"":""<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""query"":{""page"":""<*>""},""post"":[],""files"":[],""referer"":""<*>"",""ua"":""<*>""}}",513
85ee9355,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>&rnd=<*>"",""details"":{""to"":""..<*>""}}",447
eab3de38,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>&rnd=<*>"",""details"":{""reason"":""not_authenticated""}}",447
b77f6821,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>&rnd=<*>"",""details"":{""to"":""..<*>""}}",229
cf0adfec,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>&rnd=<*>"",""details"":{""reason"":""not_authenticated""}}",229
d4388a0f,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>&rnd=<*>"",""details"":{""reason"":""not_authenticated""}}",219
d4e7522c,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>&rnd=<*>"",""details"":{""to"":""..<*>""}}",219
67cbb487,"{""ts"":""<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?name=<*>&Submit=<*>&rnd=<*>"",""details"":{""to"":""..<*>""}}",210
9aaa90f6,"{""ts"":""<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?name=<*>&Submit=<*>&rnd=<*>"",""details"":{""reason"":""not_authenticated""}}",210
