EventId,EventTemplate,Occurrences
9b54e7a6,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?url=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",479
b0000372,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>"",""details"":{""to"":""..<*>""}}",477
fa398db6,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?seed=<*>"",""details"":{""reason"":""not_authenticated""}}",477
7201ef0f,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",468
cfa7eb79,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?ip=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",468
e2c51915,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/<*>.<*>.<*> (KHTML, like Gecko) Version/<*>.<*> Safari/<*>.<*>.<*>""}}",468
fec030b7,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*> Edg/<*>""}}",461
e168ad39,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""to"":""..<*>""}}",456
e673cfc5,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?page=<*>"",""details"":{""reason"":""not_authenticated""}}",456
c52f2708,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>&rnd=<*>"",""details"":{""to"":""..<*>""}}",396
f54c904b,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>&rnd=<*>"",""details"":{""reason"":""not_authenticated""}}",396
7e7a59ff,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""WARN"",""action"":""access_denied"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""reason"":""not_authenticated""}}",323
950a881f,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""redirect"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""<*>?id=<*>&Submit=<*>"",""details"":{""to"":""..<*>""}}",323
696a04ff,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X <*>.<*>; rv:<*>.<*>) Gecko/<*> Firefox/<*>.<*>""}}",322
1f5fd88f,"{""ts"":""<*>-<*>-16T14:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Windows NT <*>.<*>; Win64; x64) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*>.<*>.<*>.<*> Safari/<*>.<*>""}}",290
eb4e4ce5,"{""ts"":""<*>-<*>-16T13:<*>:<*>+<*>:<*>"",""level"":""INFO"",""action"":""request"",""user"":null,""ip"":""<*>"",""method"":""GET"",""uri"":""/<*>"",""details"":{""query"":[],""post"":[],""files"":[],""referer"":""<*>"",""ua"":""Mozilla/<*>.<*> (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/<*>.<*> (KHTML, like Gecko) Chrome/<*> Safari/<*>.<*>""}}",289
